DEPTH;MEASURED;DELTA;OBSERVED;TRANSIT;DELTA2;ACOUSTIC
0;;;;0;;
;;;;;;7870
414,3;35,3;;0,0379;0,0526;;
;;15,7;;;0,0023;6913
430;51;;0,0408;0,0549;;
;;15,7;;;0,0025;6345
445,7;66,7;;0,0431;0,0574;;
;;15,7;;;0,0026;6014
461,4;82,4;;0,0451;0,06;;
;;15,7;;;0,0027;5835
477,1;98,1;;0,0469;0,0627;;
;;15,7;;;0,0028;5653
492,8;113,8;;0,0487;0,0655;;
;;15,7;;;0,0029;5484
508,5;129,5;;0,0505;0,0683;;
;;15,7;;;0,0029;5348
524,2;145,2;;0,0524;0,0713;;
;;15,7;;;0,003;5255
539,9;160,9;;0,0543;0,0743;;
;;15,7;;;0,003;5224
555,6;176,6;;0,0562;0,0773;;
;;15,7;;;0,003;5254
571,3;192,3;;0,0581;0,0802;;
;;15,7;;;0,0029;5338
587;208;;0,0599;0,0832;;
;;15,7;;;0,0029;5477
602,7;223,7;;0,0616;0,0861;;
;;15,7;;;0,0028;5649
618,4;239,4;;0,0632;0,0888;;
;;15,7;;;0,0027;5839
634,1;255,1;;0,0648;0,0915;;
;;15,7;;;0,0026;6040
649,8;270,8;;0,0663;0,0941;;
;;15,7;;;0,0025;6237
665,5;286,5;;0,0677;0,0966;;
;;15,7;;;0,0024;6438
681,2;302,2;;0,0692;0,0991;;
;;15,7;;;0,0024;6652
696,9;317,9;;0,0706;0,1014;;
;;15,7;;;0,0023;6850
712,6;333,6;;0,0719;0,1037;;
;;15,7;;;0,0022;7010
728,3;349,3;;0,0733;0,106;;
;;15,7;;;0,0022;7135
744;365;;0,0747;0,1082;;
;;15,7;;;0,0022;7231
759,7;380,7;;0,0761;0,1103;;
;;15,7;;;0,0021;7308
775,4;396,4;;0,0776;0,1125;;
;;15,7;;;0,0021;7372
791,1;412,1;;0,079;0,1146;;
;;15,7;;;0,0021;7428
806,8;427,8;;0,0805;0,1167;;
;;15,7;;;0,0021;7495
822,5;443,5;;0,082;0,1188;;
;;15,7;;;0,0021;7547
838,2;459,2;;0,0836;0,1209;;
;;15,7;;;0,0021;7581
853,9;474,9;;0,0852;0,123;;
;;15,7;;;0,0021;7588
869,6;490,6;;0,0867;0,125;;
;;15,7;;;0,0021;7536
885,3;506,3;;0,0884;0,1271;;
;;15,7;;;0,0021;7409
901;522;;0,0901;0,1292;;
;;15,7;;;0,0022;7215
916,7;537,7;;0,0919;0,1314;;
;;15,7;;;0,0022;6982
932,4;553,4;;0,0938;0,1337;;
;;15,7;;;0,0023;6760
948,1;569,1;;0,0958;0,136;;
;;15,7;;;0,0024;6595
963,8;584,8;;0,0979;0,1384;;
;;15,7;;;0,0024;6529
979,5;600,5;;0,1;0,1408;;
;;15,7;;;0,0024;6577
995,2;616,2;;0,1021;0,1432;;
;;15,7;;;0,0023;6748
1010,9;631,9;;0,1042;0,1455;;
;;15,7;;;0,0022;6990
1026,6;647,6;;0,1062;0,1477;;
;;15,7;;;0,0022;7256
1042,3;663,3;;0,1081;0,1499;;
;;15,7;;;0,0021;7507
1058;679;;0,1099;0,152;;
;;15,7;;;0,002;7699
1073,7;694,7;;0,1117;0,154;;
;;15,7;;;0,002;7827
1089,4;710,4;;0,1135;0,156;;
;;15,7;;;0,002;7848
1105,1;726,1;;0,1153;0,158;;
